STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/4/1998,0,0,0,63,75,50
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/5/1998,0,0,0,63,77,49
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/6/1998,0,0,0,61,71,50
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/7/1998,0,0,0,60,76,43
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/8/1998,0,0,0,62,79,45
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/9/1998,0,0,0,69,84,53
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/10/1998,0,0,0,67,87,46
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/11/1998,0.01,0,0,60,78,42
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/12/1998,0,0,0,63,75,51
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/13/1998,0,0,0,58,75,40
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/14/1998,0,0,0,61,72,49
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/15/1998,0,0,0,56,73,39
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/16/1998,0,0,0,64,80,48
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/17/1998,0,0,0,66,85,47
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/18/1998,0,0,0,69,91,47
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/19/1998,0,0,0,72,95,49
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/20/1998,0,0,0,78,99,56
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/21/1998,0,0,0,76,100,51
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/22/1998,0,0,0,79,100,58
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/23/1998,0,0,0,73,96,49
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/24/1998,0,0,0,73,84,62
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/25/1998,0,0,0,73,83,62
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/26/1998,0,0,0,74,89,58
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/27/1998,0,0,0,75,95,54
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/28/1998,0,0,0,74,99,48
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/29/1998,0,0,0,80,100,60
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",4/30/1998,0,0,0,76,97,54
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/1/1998,0,0,0,79,92,65
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/2/1998,0,0,0,78,90,65
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/3/1998,0,0,0,76,89,62
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/4/1998,0,0,0,74,87,60
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/5/1998,0,0,0,72,85,58
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/6/1998,0,0,0,67,82,51
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/7/1998,0,0,0,74,85,62
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/8/1998,0,0,0,75,86,63
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/9/1998,0,0,0,75,86,63
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/10/1998,0,0,0,74,86,62
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/11/1998,0,0,0,73,85,61
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/12/1998,0,0,0,65,78,51
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/13/1998,0.02,0,0,63,75,51
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/14/1998,0,0,0,66,82,49
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/15/1998,0,0,0,68,83,52
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/16/1998,0,0,0,70,90,50
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/17/1998,0,0,0,76,94,57
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/18/1998,0,0,0,74,96,51
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/19/1998,0,0,0,74,96,51
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/20/1998,0,0,0,71,88,53
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/21/1998,0,0,0,74,90,58
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/22/1998,0,0,0,77,93,61
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/23/1998,0,0,0,80,94,65
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/24/1998,0,0,0,81,95,67
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/25/1998,0,0,0,79,90,68
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/26/1998,0,0,0,73,83,62
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/27/1998,0,0,0,73,89,57
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/28/1998,0,0,0,80,96,63
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/29/1998,0,0,0,80,92,68
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/30/1998,0,0,0,79,93,65
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",5/31/1998,0,0,0,78,96,60
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/1/1998,0,0,0,86,101,70
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/2/1998,0,0,0,86,101,71
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/3/1998,0,0,0,75,86,64
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/4/1998,0,0,0,77,90,63
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/5/1998,0,0,0,79,95,63
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/6/1998,0,0,0,78,95,61
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/7/1998,0,0,0,73,83,62
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/8/1998,0,0,0,78,90,65
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/9/1998,0,0,0,78,91,65
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/10/1998,0,0,0,80,93,67
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/11/1998,0,0,0,78,91,65
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/12/1998,0,0,0,76,86,66
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/13/1998,0,0,0,75,90,59
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/14/1998,0,0,0,84,100,67
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/15/1998,0,0,0,91,105,77
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/16/1998,0,0,0,82,93,71
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/17/1998,0,0,0,82,98,65
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/18/1998,0,0,0,79,102,55
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/19/1998,0,0,0,83,107,58
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/20/1998,0,0,0,84,105,63
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/21/1998,0,0,0,89,108,69
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/22/1998,0,0,0,80,104,55
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/23/1998,0,0,0,85,102,67
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/24/1998,0,0,0,86,101,70
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/25/1998,0,0,0,81,104,58
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/26/1998,0,0,0,92,107,76
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/27/1998,0,0,0,95,112,78
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/28/1998,0,0,0,99,116,81
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/29/1998,0,0,0,101,116,86
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",6/30/1998,0,0,0,97,113,81
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/1/1998,0,0,0,94,107,80
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/2/1998,0,0,0,92,106,77
USW00003104,"DESERT RESORTS REGIONAL AIRPORT, CA US",7/3/1998,0,0,0,86,104,68
