"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-09","0.00","113","78"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-10","0.00","110","86"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-11","0.00","107","80"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-12","0.00","104","73"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-13","0.00","105","70"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-14","0.00","106","69"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-15","0.00","110","71"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-16","0.00","114","72"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-17","0.00","116","76"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-18","0.00","112","82"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-19","0.00","113","77"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-20","0.00","109","76"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-21","0.00","108","78"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-22","0.00","105","74"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-23","0.00","104","77"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-24","0.00","105","74"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-25","0.00","106","75"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-26","0.00","109","77"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-27","0.00","108","71"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-28","0.00","111","73"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-29","0.00","113","86"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-30","0.00","111","76"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-08-31","0.00","120","74"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-01","0.00","123","76"
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","1950-09-02","0.00","113","89"
